,image_name,image_url
0,02f45ec19167952f.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/02f45ec19167952f.jpg
1,e784811fd8c091f9.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/e784811fd8c091f9.jpg
2,7f3819434208d49f.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/7f3819434208d49f.jpg
3,b84dea36cf65b292.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/b84dea36cf65b292.jpg
4,ba9ae31c22166a37.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/ba9ae31c22166a37.jpg
5,bef0154d55314f1e.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/bef0154d55314f1e.jpg
6,669f2e8377880df2.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/669f2e8377880df2.jpg
7,d815260e14e579be.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/d815260e14e579be.jpg
8,7ff3429b53fc1a2b.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/7ff3429b53fc1a2b.jpg
9,d4b1e256c06398f6.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/d4b1e256c06398f6.jpg
10,06fd93c108a36a38.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/06fd93c108a36a38.jpg
11,33bdd932db76b07c.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/33bdd932db76b07c.jpg
12,d467429b08ad1007.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/d467429b08ad1007.jpg
13,65c0e0063b710cd4.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/65c0e0063b710cd4.jpg
14,9fdf0ae481fa7a9f.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/9fdf0ae481fa7a9f.jpg
15,9edc3a5ef442217a.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/9edc3a5ef442217a.jpg
