,image_name,image_url
0,54c224cc3dd62c46.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/54c224cc3dd62c46.jpg
1,2a99047d8bf857e4.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/2a99047d8bf857e4.jpg
2,381216e46fefe74b.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/381216e46fefe74b.jpg
3,88091ce028adce76.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/88091ce028adce76.jpg
4,61701280466d60ad.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/61701280466d60ad.jpg
5,8760d75b729cd355.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/8760d75b729cd355.jpg
6,54ac5054a97a4177.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/54ac5054a97a4177.jpg
7,2c9680c7aaa4dec2.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/2c9680c7aaa4dec2.jpg
8,c29df129d0eec592.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/c29df129d0eec592.jpg
9,925e06fb52a70dff.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/925e06fb52a70dff.jpg
10,cc3419aa1ad14e1d.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/cc3419aa1ad14e1d.jpg
11,e01a5ac48e98a306.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/e01a5ac48e98a306.jpg
12,8d029208cab0a4f8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/8d029208cab0a4f8.jpg
13,8a959e61eb3e3dcb.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/8a959e61eb3e3dcb.jpg
14,aae848c4d7377d58.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/aae848c4d7377d58.jpg
15,34284c9efd71e19b.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/34284c9efd71e19b.jpg
16,545e55ac5f0b3ac4.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/545e55ac5f0b3ac4.jpg
17,6259e6c12b4ab5d0.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/6259e6c12b4ab5d0.jpg
